role,failure_name,description,good_hits,bad_hits,cleaned_hits,manual_hits,good_support,bad_support,cleaned_support,manual_support,precision_vs_bad_support,lift_good_vs_bad,bad_minus_good,score
bad_failure_rule,bad_floating_or_multicomponent,多连通块 / 漂浮部件：通常表示符文线没有通过 port/interlock 接回主结构。,145,2007,118,4,0.26752767527675275,0.5069461985349836,0.3241758241758242,0.03125,0.06737918215613382,0.5277240001446961,0.23941852325823082,0.31546045303847836
bad_failure_rule,bad_trivial_e2e_chain,纯 E2E 链式结构：有拓扑，但构成过浅，通常缺少 seal/orbit/interlock 上下文。,73,1484,17,65,0.13468634686346864,0.37484213185147763,0.046703296703296704,0.5078125,0.046885035324341684,0.3593148583348685,0.240155784988009,0.2963821047657306
bad_failure_ingredient,motif:proxy:multi_component_or_floating,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",145,2007,118,4,0.26752767527675275,0.5069461985349836,0.3241758241758242,0.03125,0.06737918215613382,0.5277240001446961,0.23941852325823082,0.2901131431117292
bad_failure_rule,bad_short_or_fragmented,短线/碎片风险：适合作为 quality gate，不适合作为正向拓扑规则。,203,2198,104,10,0.37453874538745385,0.555190704723415,0.2857142857142857,0.078125,0.08454810495626822,0.6746127817457407,0.18065195933596118,0.26393056504447343
bad_failure_ingredient,motif:field:spineb0_enclb0_interb0,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",53,1014,16,19,0.09778597785977859,0.25612528416266733,0.04395604395604396,0.1484375,0.04967197750702906,0.38178963391948545,0.15833930630288873,0.18395183471915547
bad_failure_rule,bad_unbalanced_multicomponent,多部件不平衡：可能需要提高 port coupling 或使用 component-level 组合约束。,32,834,18,3,0.05904059040590406,0.21065925738822935,0.04945054945054945,0.0234375,0.03695150115473441,0.28026582765755603,0.1516186669823253,0.1832175555905597
bad_failure_rule,bad_no_structural_field,缺少结构场：不是坏在某个 motif，而是没有形成可解释构造中心。,23,657,11,8,0.042435424354243544,0.16595099772669866,0.03021978021978022,0.0625,0.033823529411764704,0.2557105752893334,0.12351557337245511,0.1484082230314599
bad_failure_ingredient,motif:orient:axisb0_diagb3_curveb0,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",44,631,27,4,0.08118081180811808,0.15938368274816872,0.07417582417582418,0.03125,0.06518518518518518,0.5093420537097533,0.07820287094005064,0.09414123921486751
bad_failure_rule,bad_low_context_cycle,低上下文 cycle：有环，但没有 spine/port/interlock 支撑，像孤立框或无意义闭合。,11,275,20,1,0.02029520295202952,0.06946198534983582,0.054945054945054944,0.0078125,0.038461538461538464,0.2921771319612931,0.049166782397806294,0.059586080200281666
bad_failure_ingredient,motif:capacity:Sb0_CC3_C0,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",0,212,0,0,0.0,0.05354887597878252,0.0,0.0,0.0,1.8674527953148793e-08,0.05354887597878252,0.05890376357666077
bad_failure_ingredient,motif:relhist:E2_T0_X0_C0,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",7,250,9,22,0.012915129151291513,0.06314725940894166,0.024725274725274724,0.171875,0.027237354085603113,0.20452399783701036,0.050232130257650144,0.05654685619854431
bad_failure_ingredient,motif:relhist:E1_T0_X0_C0,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",2,198,2,19,0.0036900369003690036,0.050012629451881785,0.005494505494505495,0.1484375,0.01,0.07378211997705794,0.04632259255151278,0.05132385549670096
bad_failure_ingredient,motif:orient:axisb0_diagb2_curveb0,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",3,155,2,0,0.005535055350553505,0.039151300833543824,0.005494505494505495,0.0,0.0189873417721519,0.14137604859441003,0.03361624548299032,0.0375313755663447
bad_failure_ingredient,motif:capacity:Sb1_CC3_C0,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",19,257,11,0,0.03505535055350553,0.06491538267239202,0.03021978021978022,0.0,0.06884057971014493,0.540016088180563,0.029860032118886493,0.036351570386125694
bad_failure_ingredient,motif:orient:axisb1_diagb2_curveb0,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",25,283,16,4,0.046125461254612546,0.07148269765092195,0.04395604395604396,0.03125,0.08116883116883117,0.6452675000402722,0.025357236396309407,0.032505506161401604
bad_failure_ingredient,motif:capacity:Sb1_CC3_C1,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",6,97,4,0,0.01107011070110701,0.024501136650669362,0.01098901098901099,0.0,0.05825242718446602,0.4518203137724333,0.013431025949562352,0.015881139614629287
bad_failure_ingredient,motif:orient:axisb1_diagb1_curveb0,"Bad-enriched motif/field ingredient; use as negative context, not as positive rule.",7,98,1,2,0.012915129151291513,0.02475372568830513,0.0027472527472527475,0.015625,0.06666666666666667,0.5217448796262767,0.011838596537013616,0.014313969105844128
bad_failure_rule,bad_overdense_cross_fragment,高交叉且碎片风险高：说明 interlock/weave 可能不是从安全端口发生。,3,27,5,0,0.005535055350553505,0.006819904016165698,0.013736263736263736,0.0,0.1,0.8116031436557216,0.0012848486656121929,0.0023078342680370473
