good_hits,bad_hits,cleaned_hits,manual_hits,good_support,bad_support,cleaned_support,manual_support,precision_vs_bad_support,lift_good_vs_bad,orthogonality,candidate_features,nearest_old_rule_by_token,max_old_token_jaccard,nearest_old_rule_by_coverage,max_old_coverage_jaccard,score,predicate,role,kind
187,819,132,111,0.34501845018450183,0.20687042182369286,0.3626373626373626,0.8671875,0.18588469184890655,1.6677998066381237,1.0,['min_length'],,0.0,,0.0,0.3815777073113065,min_length>=86.9565,quality_gate,quality_context
397,1952,246,124,0.7324723247232472,0.49305380146501643,0.6758241758241759,0.96875,0.16900808854831845,1.485582956791451,1.0,['connected_components'],,0.0,,0.0,0.37624727642247163,connected_components<=1,quality_gate,quality_context
340,1775,262,119,0.6273062730627307,0.44834554180348574,0.7197802197802198,0.9296875,0.1607565011820331,1.3991580470282161,1.0,['min_length'],,0.0,,0.0,0.3693636360964858,min_length>=63.6697,quality_gate,quality_context
237,861,185,22,0.43726937269372695,0.21747916140439505,0.5082417582417582,0.171875,0.21584699453551912,2.010626530189773,0.96,['fragmentation_risk'],auto_pattern_000,0.04,,0.0,0.3663839488801308,fragmentation_risk>=0.1,quality_gate,quality_context
323,1797,251,125,0.5959409594095941,0.4539025006314726,0.6895604395604396,0.9765625,0.15235849056603773,1.3129272437750161,1.0,['mean_length'],,0.0,,0.0,0.3631779392392656,mean_length>=103.486,quality_gate,quality_context
163,823,137,125,0.3007380073800738,0.20788077797423593,0.37637362637362637,0.9765625,0.16531440162271804,1.4466850175568482,1.0,['mean_length'],,0.0,,0.0,0.36117996710694117,mean_length>=121.865,quality_gate,quality_context
304,1885,189,119,0.5608856088560885,0.4761303359434201,0.5192307692307693,0.9296875,0.13887619917770672,1.1780085542474898,1.0,['aspect'],,0.0,,0.0,0.3381062703911053,aspect<=1.04216,quality_gate,quality_context
226,2025,139,107,0.41697416974169743,0.5114928012124274,0.38186813186813184,0.8359375,0.10039982230119947,0.8152102413525744,1.0,['bbox_area'],,0.0,,0.0,0.3043590653538977,bbox_area>=38910.7,quality_gate,quality_context
239,2339,181,110,0.44095940959409596,0.590805759030058,0.49725274725274726,0.859375,0.09270752521334368,0.7463695184211839,0.92,['leaf_ratio'],auto_pattern_003,0.08,,0.0,0.30392780381256096,leaf_ratio>=0.25,quality_gate,quality_context
142,914,87,105,0.26199261992619927,0.2308663803990907,0.23901098901098902,0.8203125,0.13446969696969696,1.1348236124223812,0.96,['aspect'],auto_pattern_000,0.04,,0.0,0.30297951339493673,aspect<=0.836375,quality_gate,quality_context
474,2807,337,126,0.8745387453874539,0.7090174286435968,0.9258241758241759,0.984375,0.14446814995428223,1.233451689371106,1.0,['min_length'],,0.0,,0.0,0.29653913002330623,min_length>=46.5802,quality_gate,quality_context
343,2486,273,128,0.6328413284132841,0.6279363475625158,0.75,1.0,0.12124425592082008,1.0078112707792706,1.0,['stroke_count'],,0.0,,0.0,0.28680797325972973,stroke_count<=6,quality_gate,quality_context
456,2830,330,128,0.8413284132841329,0.7148269765092194,0.9065934065934066,1.0,0.13877054169202677,1.176967910774299,1.0,['mean_length'],,0.0,,0.0,0.27911828197171773,mean_length>=86.0223,quality_gate,quality_context
303,1948,195,51,0.559040590405904,0.49204344531447336,0.5357142857142857,0.3984375,0.13460684140382054,1.1361610353582712,1.0,['bbox_area'],,0.0,,0.0,0.27638402804062295,"bbox_area_between[25587.5,53215.1]",quality_gate,quality_context
509,3261,345,128,0.9391143911439115,0.8236928517302349,0.9478021978021978,1.0,0.1350132625994695,1.140126916278437,1.0,['connected_components'],,0.0,,0.0,0.27319300838602184,connected_components<=2,quality_gate,quality_context
509,3261,345,128,0.9391143911439115,0.8236928517302349,0.9478021978021978,1.0,0.1350132625994695,1.140126916278437,1.0,['connected_components'],,0.0,,0.0,0.27319300838602184,"connected_components_between[1,2]",quality_gate,quality_context
183,974,107,14,0.3376383763837638,0.24602172265723668,0.29395604395604397,0.109375,0.1581676750216076,1.3723925365801015,0.9166666666666666,['leaf_ratio'],auto_pattern_003,0.08333333333333333,,0.0,0.27279278316604144,leaf_ratio<=0,quality_gate,quality_context
96,1013,85,109,0.17712177121771217,0.2558726951250316,0.23351648351648352,0.8515625,0.08656447249774572,0.692226153474234,1.0,['stroke_count'],,0.0,,0.0,0.27098210059676114,stroke_count<=4,quality_gate,quality_context
340,1937,205,25,0.6273062730627307,0.4892649659004799,0.5631868131868132,0.1953125,0.14931927975406237,1.2821401827250167,0.92,['leaf_ratio'],auto_pattern_003,0.08,,0.0,0.27065308989584574,leaf_ratio<=0.25,quality_gate,quality_context
451,2870,301,123,0.8321033210332104,0.7249305380146501,0.8269230769230769,0.9609375,0.13580246913580246,1.147838692468706,1.0,['aspect'],,0.0,,0.0,0.26577211964230274,aspect<=1.33505,quality_gate,quality_context
316,1934,225,21,0.5830258302583026,0.4885071987875726,0.6181318681318682,0.1640625,0.14044444444444446,1.1934846231781873,1.0,['bbox_area'],,0.0,,0.0,0.26079428770836394,bbox_area<=38910.7,quality_gate,quality_context
346,3221,206,108,0.6383763837638377,0.8135892902248042,0.5659340659340659,0.84375,0.09700028034763106,0.7846420689766022,0.9615384615384616,['fragmentation_risk'],auto_pattern_000,0.038461538461538464,,0.0,0.2596078972228714,"fragmentation_risk_between[0,0.1]",quality_gate,quality_context
346,3221,206,108,0.6383763837638377,0.8135892902248042,0.5659340659340659,0.84375,0.09700028034763106,0.7846420689766022,0.96,['fragmentation_risk'],auto_pattern_000,0.04,,0.0,0.25953097414594833,fragmentation_risk<=0.1,quality_gate,quality_context
383,2993,248,120,0.7066420664206642,0.7559989896438495,0.6813186813186813,0.9375,0.1134478672985782,0.9347129773531175,1.0,['bbox_area'],,0.0,,0.0,0.2579514502194785,bbox_area>=25587.5,quality_gate,quality_context
112,1244,98,91,0.2066420664206642,0.31422076281889366,0.2692307692307692,0.7109375,0.08259587020648967,0.6576333941437612,0.92,['leaf_ratio'],auto_pattern_003,0.08,,0.0,0.2558019887693346,leaf_ratio>=0.5,quality_gate,quality_context
164,2555,95,74,0.3025830258302583,0.6453649911593837,0.260989010989011,0.578125,0.06031629275468922,0.46885565611146507,0.9583333333333334,['fragmentation_risk'],auto_pattern_000,0.041666666666666664,,0.0,0.25145976199556036,fragmentation_risk<=0,quality_gate,quality_context
309,1956,214,18,0.5701107011070111,0.4940641576155595,0.5879120879120879,0.140625,0.13642384105960265,1.1539203809168128,0.9642857142857143,['aspect'],auto_pattern_000,0.03571428571428571,,0.0,0.2505760152735868,"aspect_between[0.836375,1.33505]",quality_gate,quality_context
159,966,116,8,0.2933579335793358,0.24400101035615054,0.31868131868131866,0.0625,0.14133333333333334,1.202281633788569,1.0,['bbox_area'],,0.0,,0.0,0.24323467756605455,bbox_area<=25587.5,quality_gate,quality_context
454,3157,338,128,0.8376383763837638,0.7974235918161152,0.9285714285714286,1.0,0.1257269454444752,1.0504308938560865,1.0,['stroke_count'],,0.0,,0.0,0.23702838941656068,stroke_count<=7,quality_gate,quality_context
287,1990,205,15,0.5295202952029521,0.5026521848951756,0.5631868131868132,0.1171875,0.12604303908651734,1.0534526876868682,1.0,['min_length'],,0.0,,0.0,0.23544008560939073,"min_length_between[46.5802,86.9565]",quality_gate,quality_context
